chatbot_arena_name,open_llm_name,model
microsoft/Phi-3-medium-4k-instruct,microsoft/Phi-3-medium-4k-instruct,phi3_medium_4k
berkeley-nest/Starling-LM-7B-alpha,berkeley-nest/Starling-LM-7B-alpha,starling_7b
mistralai/Mistral-7B-Instruct-v0.2,mistralai/Mistral-7B-Instruct-v0.2,mistral_7b_v0_2
HuggingFaceH4/zephyr-7b-beta,HuggingFaceH4/zephyr-7b-beta,zephyr_7b_beta
HuggingFaceH4/zephyr-7b-alpha,HuggingFaceH4/zephyr-7b-alpha,zephyr_7b_alpha
meta-llama/Llama-2-13b-chat-hf,meta-llama/Llama-2-13b-chat-hf,llama2_13b
mistralai/Mistral-7B-Instruct-v0.1,mistralai/Mistral-7B-Instruct-v0.1,mistral_7b_instruct
lmsys/vicuna-7b-v1.5,lmsys/vicuna-7b-v1.5,vicuna_7b_v1_5
upstage/SOLAR-10.7B-Instruct-v1.0,upstage/SOLAR-10.7B-Instruct-v1.0,solar_10_7b
microsoft/Phi-3-mini-4k-instruct,microsoft/Phi-3-mini-4k-instruct,phi3_mini_4k
openchat/openchat_3.5,openchat/openchat_3.5,openchat_3_5
google/gemma-1.1-7b-it,google/gemma-1.1-7b-it,gemma_1_1_7b
deepseek-ai/deepseek-llm-67b-chat,deepseek-ai/deepseek-llm-67b-chat,deepseek_67b
internlm/internlm2_5-20b-chat,internlm/internlm2_5-20b-chat,internlm_2_5_20b
databricks/dolly-v2-12b,databricks/dolly-v2-12b,dolly_v2_12b
google/gemma-1.1-2b-it,google/gemma-1.1-2b-it,gemma_1_1_2b
microsoft/Phi-3-small-8k-instruct,microsoft/Phi-3-small-8k-instruct,phi3_small_8k
HuggingFaceH4/zephyr-orpo-141b-A35b-v0.1,HuggingFaceH4/zephyr-orpo-141b-A35b-v0.1,zephyr_141b_a35b_v0_1
01-ai/Yi-1.5-34B-Chat,01-ai/Yi-1.5-34B-Chat,yi_1_5_34b
01-ai/Yi-34B-Chat,01-ai/Yi-34B-Chat,yi_34b
google/gemma-7b-it,google/gemma-7b-it,gemma_7b
google/gemma-2b-it,google/gemma-2b-it,gemma_2b
teknium/OpenHermes-2.5-Mistral-7B,teknium/OpenHermes-2.5-Mistral-7B,openhermes_2_5_mistral_7b
NousResearch/Nous-Hermes-2-Mixtral-8x7B-DPO,NousResearch/Nous-Hermes-2-Mixtral-8x7B-DPO,nous_hermes_2_mixtral_8x7b_dpo
openchat/openchat-3.5-0106,openchat/openchat-3.5-0106,openchat_3_5_0106
meta-llama/Llama-2-70b-chat-hf,meta-llama/Llama-2-70b-chat-hf,llama2_70b
meta-llama/Llama-2-7b-chat-hf,meta-llama/Llama-2-7b-chat-hf,llama2_7b
allenai/OLMo-7B-Instruct,allenai/OLMo-7B-Instruct-hf,olmo_7b
Qwen1.5-32B-Chat,Qwen/Qwen1.5-32B-Chat,qwen1_5_32b
Qwen1.5-110B-Chat,Qwen/Qwen1.5-110B-Chat,qwen1_5_110b
Qwen1.5-4B-Chat,Qwen/Qwen1.5-4B-Chat,qwen1_5_4b
Qwen1.5-7B-Chat,Qwen/Qwen1.5-7B-Chat,qwen1_5_7b
Qwen2-72B-Instruct,Qwen/Qwen2-72B-Instruct,qwen2_72b
WizardLM/WizardLM-70B-V1.0,WizardLMTeam/WizardLM-70B-V1.0,wizardlm_70b_v1_0
Qwen1.5-14B-Chat,Qwen/Qwen1.5-14B-Chat,qwen1_5_14b
WizardLM/WizardLM-13B-V1.2,WizardLMTeam/WizardLM-13B-V1.2,wizardlm_13b_v1_2
Qwen2.5-72b-Instruct,Qwen/Qwen2.5-72B-Instruct,qwen2_5_72b
Meta-Llama-3.1-70b-Instruct,meta-llama/Meta-Llama-3.1-70B-Instruct,llama3_1_70b
Meta-Llama-3.1-8b-Instruct,meta-llama/Meta-Llama-3.1-8B-Instruct,llama3_1_8b
Meta-Llama-3.2-1b-Instruct,meta-llama/Llama-3.2-1B-Instruct,llama3_2_1b
Meta-Llama-3.2-3b-Instruct,meta-llama/Llama-3.2-3B-Instruct,llama3_2_3b
Mixtral-8x7b-Instruct-v0.1,mistralai/Mixtral-8x7B-Instruct-v0.1,mistral_8x7b_v0_1
Phi-3-Mini-128k-Instruct,microsoft/Phi-3-mini-128k-instruct,phi3_mini_128k
Mixtral-8x22b-Instruct-v0.1,mistralai/Mixtral-8x22B-Instruct-v0.1,mixtral_moe_8x22B
Llama-3-8b-Instruct,meta-llama/Meta-Llama-3-8B-Instruct,llama3_8b
Llama-3-70b-Instruct,meta-llama/Meta-Llama-3-70B-Instruct,llama3_70b
Gemma-2-2b-it,google/gemma-2-2b-it,gemma2_2b
Gemma-2-9b-it,google/gemma-2-9b-it,gemma2_9b
Gemma-2-27b-it,google/gemma-2-27b-it,gemma2_27b
Command R+ (08-2024),CohereForAI/c4ai-command-r-plus-08-2024,c4ai_command_r_plus_08_2024
DBRX-Instruct-Preview,databricks/dbrx-instruct,dbrx
GPT-4o-2024-05-13,,gpt_4o_may
GPT-4o-mini-2024-07-18,,gpt_4o_mini
Claude 3.5 Sonnet,,claude3_5_sonnet
Meta-Llama-3.1-405b-Instruct-fp8,,llama3_1_405b
,01-ai/Yi-6B-Chat,yi_6b
,01-ai/Yi-9B-Chat,yi_9b
,01-ai/Yi-1.5-6B-Chat,yi_1_5_6b
,01-ai/Yi-1.5-9B-Chat,yi_1_5_9b
,microsoft/Phi-3-mini-128k-instruct,phi3_mini_128k
,microsoft/Phi-3-small-128k-instruct,phi3_small_128k
,microsoft/Phi-3-medium-128k-instruct,phi3_medium_128k
,Qwen/Qwen1.5-1.8B-Chat,qwen1_5_1_8b
,Qwen/Qwen1.5-0.5B-Chat,qwen1_5_0_5b
,Qwen/Qwen2.5-32B-Instruct,qwen2_5_32b
,Qwen/Qwen2.5-14B-Instruct,qwen2_5_14b
,Qwen/Qwen2.5-7B-Instruct,qwen2_5_7b
,Qwen/Qwen2.5-3B-Instruct,qwen2_5_3b
,Qwen/Qwen2.5-1.5B-Instruct,qwen2_5_1_5b
,Qwen/Qwen2.5-0.5B-Instruct,qwen2_5_0_5b
GPT-3.5-Turbo-0613,,gpt_3_5_turbo_0613
GPT-4-Turbo-2024-04-09,,gpt_4_turbo
Gemini-1.5-Flash-002,,gemini_1_5_flash
Gemini-1.5-Pro-002,,gemini_1_5_pro
Gemini-1.5-Flash-8B-001,,gemini_1_5_flash_8b_001
Qwen1.5-72B-Chat,,qwen1_5_72b